ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,,,,,,,,,,,,,,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Bautista R.,Gabashvili T.,60,137,778,404,6,3,6,4,7,6,,,,,3,0,Completed,1,5,2,5,1,5,2,55,1,62,2,2,1,56,2,59,1,67,2,2,1,67,2,95,1,54,2,44
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Granollers M.,9,41,3135,975,6,7,6,4,7,5,6,4,,,3,1,Completed,1,6,10,1,7,8,1,5,10,1,5,13,1,7,8,1,9,13,5,1,6,9,69,,,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Sijsling I.,Kuznetsov Al.,64,173,747,292,6,3,6,4,6,4,,,,,3,0,Completed,1,18,4,5,1,2,4,4,1,22,4,1,22,4,85,1,25,3,75,1,25,4,95,1,22,4,29,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Raonic M.,Berlocq C.,15,74,2225,690,6,4,6,3,6,3,,,,,3,0,Completed,1,12,6,1,12,6,1,14,5,1,12,7,75,1,14,5,5,1,15,9,1,12,6,21,,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Dimitrov G.,Bolelli S.,31,89,1330,577,6,1,6,4,6,3,,,,,3,0,Completed,1,4,13,1,4,10,1,4,9,1,5,14,1,5,10,1,6,18,1,4,11,63,,,,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Ferrer D.,Alund M.,4,101,7220,550,6,1,4,6,7,5,6,2,,,3,1,Completed,1,2,34,1,1,20,1,4,15,1,1,41,1,2,13,1,4,41,1,1,21,85,,,,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Berdych T.,Klizan M.,6,36,4515,1090,6,3,6,4,6,4,,,,,3,0,Completed,1,4,13,1,4,8,75,1,4,11,1,5,13,1,5,10,1,6,17,5,1,4,11,17,,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Brands D.,Gimeno-Traver D.,57,56,803,807,7,6,6,7,6,7,6,1,6,4,3,2,Completed,1,18,4,5,1,23,4,1,22,4,1,24,4,54,1,22,4,1,25,4,95,1,22,4,24,,,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Mathieu P.H.,Berankis R.,82,69,616,711,7,6,7,5,6,7,6,4,,,3,1,Completed,2,1,1,66,2,2,1,65,2,1,73,2,2,1,75,2,2,1,67,2,3,1,77,2,12,1,7,
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Reynolds B.,Johnson S.,156,98,346,556,1,6,7,6,6,3,6,7,6,4,3,2,Completed,2,37,1,53,2,4,1,55,2,25,1,57,2,55,1,58,2,38,1,57,2,7,1,6,2,39,1,56
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Lopez F.,Simon G.,32,17,1245,2090,6,2,6,4,7,6,,,,,3,0,Completed,1,57,2,25,1,65,2,2,1,67,2,2,1,68,2,34,1,67,2,2,1,68,2,46,1,62,2,28
37,London,Wimbledon,25/06/2013,Grand Slam,Outdoor,Grass,1st Round,5,Zemlja G.,Russell M.,55,95,816,565,6,7,6,4,6,4,6,1,,,3,1,Completed,1,3,3,4,1,35,3,15,1,36,3,1,34,3,6,1,36,3,1,36,3,65,1,34,3,25,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Kubot L.,Darcis S.,130,135,440,418,,,,,,,,,,,,,Walkover,2,1,72,2,5,1,75,2,1,73,2,7,1,85,2,1,1,73,2,1,1,85,2,2,1,77,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Brown D.,Hewitt L.,189,70,261,710,6,4,6,4,6,7,6,2,,,3,1,Completed,7,1,1,6,5,1,1,6,5,1,11,7,75,1,12,6,1,13,10,5,1,15,6,6,1,11,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Mannarino A.,Isner J.,111,21,511,1735,1,1,,,,,,,,,0,0,Retired,4,5,1,18,5,1,16,4,5,1,2,4,58,1,24,5,1,17,5,9,1,25,4,58,1,19,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Troicki V.,Kuznetsov An.,44,78,935,663,6,4,6,3,6,4,,,,,3,0,Completed,1,36,3,1,4,2,9,1,4,2,75,1,43,3,5,1,4,2,88,1,45,3,75,1,39,2,96,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Janowicz J.,Stepanek R.,22,45,1549,920,6,2,5,3,,,,,,,1,0,Retired,1,57,2,25,1,65,2,2,1,67,2,2,1,83,2,1,1,73,2,1,1,83,2,38,1,7,2,13
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Almagro N.,Rufin G.,16,85,2195,589,7,5,6,7,6,3,6,4,,,3,1,Completed,1,12,6,1,16,5,1,17,5,1,18,5,65,1,17,5,1,18,6,7,1,15,5,37,,,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Youzhny M.,Pospisil V.,26,103,1415,546,6,2,6,7,7,6,3,6,6,4,3,2,Completed,1,11,6,5,1,1,6,5,1,12,6,1,14,6,87,1,14,5,5,1,15,7,5,1,12,6,6,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Verdasco F.,Benneteau J.,54,33,825,1200,7,6,7,6,6,4,,,,,3,0,Completed,1,72,2,1,74,2,5,1,8,2,1,77,2,18,1,73,2,1,1,83,2,3,1,75,2,5,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Paire B.,Robert S.,27,165,1380,316,6,4,7,5,6,4,,,,,3,0,Completed,1,2,4,33,1,25,3,85,1,25,4,1,26,4,37,1,25,3,75,1,27,4,95,1,24,4,4,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Gulbis E.,Tsonga J.W.,39,7,1026,4155,3,6,6,3,6,3,,,,,2,1,Retired,4,33,1,2,4,1,23,4,33,1,22,4,46,1,25,4,1,22,4,95,1,25,4,24,1,22,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Melzer J.,Reister J.,37,121,1085,461,3,6,7,6,7,6,6,2,,,3,1,Completed,1,5,2,5,1,55,2,4,1,57,2,25,1,56,2,59,1,57,2,38,1,58,2,68,1,55,2,44
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Robredo T.,Mahut N.,29,124,1355,460,7,6,6,1,7,6,,,,,3,0,Completed,3,1,36,3,15,1,35,3,1,4,3,1,45,2,75,1,44,3,35,1,45,2,92,1,4,,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Murray A.,Lu Y.H.,2,75,8560,683,6,3,6,3,7,5,,,,,3,0,Completed,1,1,26,1,1,20,1,1,26,1,1,34,1,1,14,1,2,66,1,1,21,16,,,,,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Monaco J.,Ram R.,20,86,1740,586,5,7,6,2,6,4,6,2,,,3,1,Completed,1,22,4,1,28,3,6,1,29,3,75,1,27,4,18,1,29,3,5,1,3,4,8,1,26,3,8,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Stakhovsky S.,Federer R.,116,3,488,7740,6,7,7,6,7,5,7,6,,,3,1,Completed,29,1,2,20,1,1,26,1,1,46,1,1,17,1,1,61,1,1,22,96,1,1,,,,,,
37,London,Wimbledon,26/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,De Schepper K.,Cilic M.,80,12,627,2470,,,,,,,,,,,,,Walkover,10,1,6,8,1,7,8,1,8,9,16,1,9,8,5,1,6,10,1,1,8,26,1,8,,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Seppi A.,Llodra M.,28,53,1380,844,7,5,,,,,,,,,1,0,Retired,2,25,1,57,2,4,1,55,2,25,1,62,2,48,1,61,2,38,1,57,2,55,1,62,2,38,1,57
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Anderson K.,Przysiezny M.,23,127,1510,445,6,4,7,6,6,4,,,,,3,0,Completed,1,11,6,5,1,1,6,5,1,1,7,1,14,6,62,1,8,7,5,1,15,8,1,11,6,51,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Tomic B.,Blake J.,59,87,780,583,6,3,6,4,7,5,,,,,3,0,Completed,1,53,2,37,1,55,2,4,1,5,2,5,1,45,3,1,5,2,63,1,59,3,1,49,2,58,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Berdych T.,Brands D.,6,57,4515,803,7,6,6,4,6,2,,,,,3,0,Completed,1,6,10,1,7,8,1,6,9,1,7,10,75,1,4,11,1,9,11,1,6,9,42,,,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Del Potro J.M.,Levine J.,8,112,3960,503,6,2,7,6,6,3,,,,,3,0,Completed,1,3,15,1,4,8,75,1,4,11,1,6,12,25,1,4,11,1,6,18,1,3,12,56,,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Nishikori K.,Mayer L.,11,84,2495,611,7,6,6,4,6,2,,,,,3,0,Completed,1,1,7,1,7,8,1,1,7,1,9,9,16,1,1,7,1,12,9,16,1,9,7,25,,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Gasquet R.,Soeda G.,9,129,3135,442,6,0,6,3,6,7,6,3,,,3,1,Completed,1,3,15,1,3,12,1,5,10,1,3,17,5,1,4,11,1,6,17,5,1,3,12,47,,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Sijsling I.,Raonic M.,64,15,747,2225,7,5,6,4,7,6,,,,,3,0,Completed,3,1,36,2,9,1,4,3,1,4,3,48,1,36,2,88,1,4,3,48,1,5,3,1,38,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Dodig I.,Kudla D.,49,105,888,538,6,1,7,6,7,5,,,,,3,0,Completed,1,36,3,1,45,2,7,1,4,2,75,1,42,3,14,1,44,2,75,1,45,3,5,1,4,2,92,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Lopez F.,Mathieu P.H.,32,82,1245,616,6,3,5,1,,,,,,,1,0,Retired,1,18,4,5,1,2,4,4,1,22,4,1,24,4,65,1,17,5,1,27,5,1,21,4,41,,,
37,London,Wimbledon,27/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Reynolds B.,1,156,11830,346,7,6,6,3,6,1,,,,,3,0,Completed,1,2,29,1,1,11,5,1,1,21,1,1,34,1,1,17,1,2,46,1,1,21,52,,,,,
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Zemlja G.,Dimitrov G.,55,31,816,1330,3,6,7,6,3,6,6,4,11,9,3,2,Completed,5,5,1,14,5,1,16,5,1,17,5,1,21,5,1,17,5,7,1,21,5,4,1,17,,,,
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Chardy J.,Struff J.L.,25,115,1441,489,6,2,5,7,7,6,7,6,,,3,1,Completed,1,25,3,75,1,25,3,85,1,29,3,75,1,29,4,1,1,29,3,5,1,31,4,1,1,27,3,7
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Ferrer D.,Bautista R.,4,60,7220,778,6,3,3,6,7,6,7,5,,,3,1,Completed,1,1,7,1,1,6,1,1,7,1,13,7,33,1,1,7,1,15,7,5,1,11,6,47,,,,
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Dolgopolov O.,Giraldo S.,24,91,1500,570,6,4,7,5,6,3,,,,,3,0,Completed,1,33,3,25,1,35,3,15,1,4,3,1,45,2,97,1,4,2,88,1,45,3,4,1,37,3,8,
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,2nd Round,5,Haas T.,Wang J.,13,151,2425,358,6,3,6,2,7,5,,,,,3,0,Completed,1,4,13,1,3,12,1,5,10,1,5,13,1,4,11,1,7,13,1,4,11,2,,,,,,
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Melzer J.,Stakhovsky S.,37,116,1085,488,6,2,2,6,7,5,6,3,,,3,1,Completed,2,1,1,72,1,98,1,8,2,1,73,2,4,1,88,1,9,1,9,2,25,1,91,2,1,78,,
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Janowicz J.,Almagro N.,22,16,1549,2195,7,6,6,3,6,4,,,,,3,0,Completed,1,72,2,1,1,7,2,12,1,73,2,1,1,79,2,16,1,73,2,1,1,83,2,34,1,74,2,7
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Mannarino A.,Brown D.,111,189,511,261,6,4,6,2,7,5,,,,,3,0,Completed,2,25,1,61,2,2,1,65,2,25,1,62,2,23,1,76,2,2,1,67,2,46,1,76,2,18,1,67
37,London,Wimbledon,28/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Murray A.,Robredo T.,2,29,8560,1355,6,2,6,4,7,5,,,,,3,0,Completed,1,3,15,1,4,10,1,3,12,1,5,15,5,1,3,13,1,5,17,5,1,3,12,61,,,,
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Kubot L.,Paire B.,130,27,440,1380,6,1,6,3,6,4,,,,,3,0,Completed,3,4,1,33,3,15,1,35,3,4,1,3,3,46,1,37,3,5,1,3,4,5,1,37,3,37,1,32
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,De Schepper K.,Monaco J.,80,20,627,1740,6,4,7,6,6,4,,,,,3,0,Completed,2,75,1,44,2,7,1,45,2,75,1,44,3,1,1,43,2,88,1,44,3,35,1,48,2,85,1,42
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Seppi A.,Nishikori K.,28,11,1380,2495,3,6,6,2,6,7,6,1,6,4,3,2,Completed,3,25,1,36,3,15,1,35,3,25,1,36,3,45,1,38,3,25,1,36,3,45,1,4,3,19,1,35
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Youzhny M.,Troicki V.,26,44,1415,935,6,3,6,4,7,5,,,,,3,0,Completed,1,61,2,25,1,6,2,3,1,62,2,25,1,65,2,41,1,62,2,25,1,74,2,41,1,63,2,26
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Verdasco F.,Gulbis E.,54,39,825,1026,6,2,6,4,6,4,,,,,3,0,Completed,2,25,1,61,2,2,1,65,2,25,1,62,2,43,1,64,2,1,1,73,2,48,1,73,2,26,1,63
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Tomic B.,Gasquet R.,59,9,780,3135,7,6,5,7,7,5,7,6,,,3,1,Completed,2,87,1,4,2,75,1,4,3,1,4,3,22,1,41,2,88,1,44,3,35,1,45,2,97,1,39,
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Berdych T.,Anderson K.,6,23,4515,1510,3,6,6,3,6,4,7,5,,,3,1,Completed,1,16,5,1,2,4,4,1,2,4,5,1,21,5,25,1,18,5,1,22,5,6,1,19,4,73,,
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Dodig I.,Sijsling I.,49,64,888,747,6,0,6,1,1,0,,,,,2,0,Retired,1,8,2,1,85,1,92,1,91,1,91,1,91,2,2,1,9,1,9,1,97,2,5,1,83,1,94,
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Del Potro J.M.,Zemlja G.,8,55,3960,816,7,5,7,6,6,0,,,,,3,0,Completed,1,7,9,1,7,8,1,7,8,5,1,9,9,6,1,8,8,1,13,9,6,1,8,7,86,,,
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Haas T.,Lopez F.,13,32,2425,1245,4,6,6,2,7,5,6,4,,,3,1,Completed,1,5,2,62,1,45,2,7,1,5,2,62,1,5,2,82,1,44,2,88,1,53,2,88,1,48,2,65
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,5,Ferrer D.,Dolgopolov O.,4,24,7220,1500,6,7,7,6,2,6,6,1,6,2,3,2,Completed,1,4,2,87,1,42,2,8,1,44,2,75,1,47,2,97,1,36,3,2,1,49,3,4,1,42,2,86
37,London,Wimbledon,29/06/2013,Grand Slam,Outdoor,Grass,3rd Round,3,Djokovic N.,Chardy J.,1,25,11830,1441,6,3,6,2,6,2,,,,,3,0,Completed,1,2,19,1,3,9,5,1,2,15,1,3,19,1,3,13,1,5,24,5,1,2,15,1,,,,
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Janowicz J.,Melzer J.,22,37,1549,1085,3,6,7,6,6,4,4,6,6,4,3,2,Completed,1,25,4,1,23,4,1,25,4,1,28,4,15,1,25,4,1,32,4,65,1,25,3,97,,,,
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Kubot L.,Mannarino A.,130,111,440,511,4,6,6,3,3,6,6,3,6,4,3,2,Completed,1,61,2,3,1,6,2,3,1,67,2,2,1,72,2,27,1,62,2,38,1,73,2,46,1,63,2,26
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Ferrer D.,Dodig I.,4,49,7220,888,6,7,7,6,6,1,6,1,,,3,1,Completed,1,33,3,4,1,35,3,15,1,33,3,4,1,37,3,43,1,33,3,5,1,4,3,95,1,33,3,31
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Verdasco F.,De Schepper K.,54,80,825,627,6,4,6,4,6,4,,,,,3,0,Completed,1,18,4,5,1,16,5,1,2,4,5,1,25,4,5,1,2,4,8,1,25,5,1,1,2,4,46,
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Del Potro J.M.,Seppi A.,8,28,3960,1380,6,4,7,6,6,3,,,,,3,0,Completed,1,28,3,75,1,27,3,65,1,29,3,5,1,28,4,14,1,29,3,75,1,32,4,4,1,27,3,75
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Murray A.,Youzhny M.,2,26,8560,1415,6,4,7,6,6,1,,,,,3,0,Completed,1,5,11,1,6,7,5,1,4,11,1,8,11,1,5,11,1,9,12,55,1,6,9,67,,,,
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Berdych T.,Tomic B.,6,59,4515,780,7,6,6,7,6,4,6,4,,,3,1,Completed,1,4,3,1,4,2,9,1,44,2,75,1,4,3,25,1,44,2,88,1,45,3,5,1,39,2,99,
37,London,Wimbledon,01/07/2013,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,Haas T.,1,13,11830,2425,6,1,6,4,7,6,,,,,3,0,Completed,1,1,7,1,1,6,5,1,1,7,1,14,7,5,1,1,7,5,1,15,7,5,1,11,6,49,,
37,London,Wimbledon,03/07/2013,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Berdych T.,1,6,11830,4515,7,6,6,4,6,3,,,,,3,0,Completed,1,1,7,1,12,6,1,12,6,1,13,7,94,,,1,15,7,94,1,12,6,41,,,,,
37,London,Wimbledon,03/07/2013,Grand Slam,Outdoor,Grass,Quarterfinals,5,Del Potro J.M.,Ferrer D.,8,4,3960,7220,6,2,6,4,7,6,,,,,3,0,Completed,2,1,1,72,2,12,1,7,2,25,1,62,2,15,1,8,2,25,1,67,2,36,1,8,2,13,1,71
37,London,Wimbledon,03/07/2013,Grand Slam,Outdoor,Grass,Quarterfinals,5,Murray A.,Verdasco F.,2,54,8560,825,4,6,3,6,6,1,6,4,7,5,3,2,Completed,1,7,9,1,8,7,5,1,8,8,1,9,9,6,1,8,8,1,1,10,5,1,8,8,39,,,
37,London,Wimbledon,03/07/2013,Grand Slam,Outdoor,Grass,Quarterfinals,5,Janowicz J.,Kubot L.,22,130,1549,440,7,5,6,4,6,4,,,,,3,0,Completed,1,18,4,5,1,2,4,4,1,22,4,33,1,24,4,64,1,2,4,8,1,26,5,1,22,4,33,
37,London,Wimbledon,05/07/2013,Grand Slam,Outdoor,Grass,Semifinals,5,Djokovic N.,Del Potro J.M.,1,8,11830,3960,7,5,4,6,7,6,6,7,6,3,3,2,Completed,1,16,5,1,12,6,1,14,5,5,1,16,6,6,1,14,6,1,2,6,6,1,14,5,62,,,
37,London,Wimbledon,05/07/2013,Grand Slam,Outdoor,Grass,Semifinals,5,Murray A.,Janowicz J.,2,22,8560,1549,6,7,6,4,6,4,6,3,,,3,1,Completed,1,16,5,1,18,4,75,1,25,4,1,22,5,21,1,22,4,5,1,26,5,7,1,2,4,67,,
37,London,Wimbledon,07/07/2013,Grand Slam,Outdoor,Grass,The Final,5,Murray A.,Djokovic N.,2,1,8560,11830,6,4,7,5,6,4,,,,,3,0,Completed,2,5,1,57,2,3,1,6,2,38,1,57,2,49,1,63,2,38,1,62,2,64,1,67,2,4,1,58
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Nishikori K.,179,12,269,2405,6,4,6,4,6,2,,,,,3,0,Completed,8,1,8,6,1,1,6,1,11,9,16,1,9,6,5,1,1,9,4,1,13,7,9,1,9,,,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Tursunov D.,Bedene A.,34,106,1190,513,7,5,4,6,6,3,6,0,,,3,1,Completed,1,18,4,5,1,14,4,75,1,17,4,5,1,31,3,85,1,2,4,5,1,31,5,5,1,2,4,4
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Ramos A.,52,75,870,695,6,3,3,6,4,6,7,6,6,3,3,2,Completed,1,25,3,75,1,28,3,3,1,3,3,4,1,31,3,85,1,33,3,25,1,36,4,5,1,29,3,52
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Rufin G.,Struff J.L.,91,96,589,563,7,6,6,3,2,6,2,6,6,1,3,2,Completed,1,28,3,5,1,33,3,1,4,2,75,1,35,3,49,1,4,2,88,1,45,3,5,1,34,3,17,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Serra F.,26,206,1435,223,6,7,6,2,6,3,6,3,,,3,1,Completed,1,12,6,1,12,5,25,1,13,5,1,2,5,16,1,1,7,1,2,7,5,1,13,5,52,,,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Klahn B.,De Schepper K.,124,69,460,716,6,7,6,2,7,6,7,6,,,3,1,Completed,1,4,2,75,1,45,2,54,1,44,2,62,1,38,3,39,1,53,2,5,1,54,3,39,1,41,2,84
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Russell M.,9,92,2625,589,6,3,6,4,6,2,,,,,3,0,Completed,1,6,10,1,7,7,1,7,8,5,1,9,8,91,1,8,7,5,1,1,11,1,7,8,34,,,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Williams R.,42,115,1030,488,6,3,4,6,1,6,7,5,6,0,3,2,Completed,1,13,5,5,1,18,4,25,1,2,4,33,1,19,5,39,1,17,5,1,23,5,7,1,17,4,87,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Robert S.,Olivetti A.,150,302,366,138,6,3,6,3,6,4,,,,,3,0,Completed,1,5,2,5,1,52,2,35,1,53,2,38,1,52,2,73,1,57,2,38,1,6,2,73,1,54,2,44
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Martin A.,172,137,279,414,6,4,7,6,7,5,,,,,3,0,Completed,1,18,4,5,1,22,3,8,1,25,3,75,1,23,4,76,1,25,3,75,1,27,5,3,1,22,4,14
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Haider-Maurer A.,Gulbis E.,88,33,600,1191,3,6,6,3,1,6,7,6,6,4,3,2,Completed,13,1,4,8,1,5,9,1,4,15,1,4,9,1,6,15,1,8,10,58,1,5,,,,,,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Cuevas P.,21,492,1685,66,6,3,6,7,6,3,,,,,2,1,Retired,1,5,11,1,5,8,1,4,9,1,8,10,15,1,6,9,1,8,14,1,5,10,26,,,,,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Harrison R.,2,97,8860,561,6,4,6,2,6,2,,,,,3,0,Completed,1,1,21,1,2,10,1,2,17,1,1,27,22,1,1,15,1,3,41,1,2,16,96,,,,,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Verdasco F.,38,30,1125,1325,6,3,7,5,1,6,4,6,6,3,3,2,Completed,2,37,1,53,2,4,1,5,2,5,1,5,2,25,1,73,2,38,1,57,2,5,1,73,2,28,1,61
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Dancevic F.,Haase R.,152,59,354,797,7,6,3,6,7,5,7,6,,,3,1,Completed,2,75,1,4,2,4,1,5,2,62,1,44,2,5,1,6,2,75,1,44,2,75,1,6,2,5,1,51
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Kuznetsov An.,77,83,656,616,7,6,6,3,6,7,5,7,6,4,3,2,Completed,1,22,4,1,28,3,3,1,3,3,4,1,29,3,97,1,33,3,25,1,33,4,5,1,27,3,73,
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Matosevic M.,22,56,1620,834,6,3,6,7,6,3,6,2,,,3,1,Completed,1,57,2,25,1,6,2,2,1,53,2,38,1,67,2,35,1,57,2,38,1,7,2,4,1,61,2,26
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Bellucci T.,64,118,755,485,6,3,6,2,6,2,,,,,3,0,Completed,1,4,2,75,1,38,2,8,1,4,2,75,1,5,2,79,1,44,2,75,1,5,2,88,1,44,2,73
51,New York,US Open,26/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Kyrgios N.,4,212,7210,219,7,5,6,3,6,2,,,,,3,0,Completed,1,6,10,1,4,8,5,1,6,9,1,8,10,25,1,5,10,1,9,12,1,6,9,16,,,,
51,New York,US Open,27/08/2013,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Altamirano C.,25,N/A,1445,N/A,6,1,6,3,6,1,,,,,3,0,Completed,1,2,34,1,1,11,1,21,1,1,27,22,1,1,17,1,3,41,1,1,19,51,,,,,,
